deep_score,deep_class,micro_score_anger,micro_score_disgust,micro_score_fear,micro_score_happiness,micro_score_sadness,micro_score_surprise,micro_class,fusion_label
0.8785,0,0.0014390000142157,0.9753130078315736,0.0043799998238682,0.0059009999968111,0.0023550000041723,0.0106119997799396,1,LIVE
0.6931,0,0.0002709999971557,0.9967600107192992,0.0002340000064577,0.0001150000025518,0.0001970000012079,0.002422000048682,1,LIVE
0.8594,0,0.0005779999773949,0.9615399837493896,0.0039300001226365,0.0036820000968873,0.0013160000089555,0.0289539992809295,1,LIVE
0.9099,0,0.4102680087089538,0.0215489994734525,0.0073239998891949,0.4823459982872009,0.0137029998004436,0.064810000360012,3,LIVE
0.9168,0,0.0001300000003539,0.9951220154762268,0.0002160000003641,9.300000237999484e-05,0.0002240000030724,0.0042159999720752,1,LIVE
0.8016,0,0.0226269997656345,0.0104759996756911,0.0047439998015761,0.9422289729118348,0.0051569999195635,0.0147660002112388,3,LIVE
0.6255,0,0.0001760000013746,0.9891790151596068,0.000224999996135,0.0003950000100303,0.0010089999996125,0.0090159997344017,1,LIVE
0.7492,0,0.000806999974884,0.939182996749878,0.0030080000869929,0.0042539997957646,0.0026940000243484,0.0500530004501342,1,LIVE
0.8392,0,0.0045650000683963,0.6998239755630493,0.0115050002932548,0.0261889994144439,0.0093909995630383,0.2485260069370269,1,LIVE
0.8183,0,0.0012319999514147,0.9652259945869446,0.002430000109598,0.0015620000194758,0.0021389999892562,0.0274119991809129,1,LIVE
0.7524,0,0.0002669999958015,0.9972890019416808,0.0002969999914057,0.0005050000036135,0.0005830000154674,0.0010600000387057,1,LIVE
0.8222,0,0.000201000002562,0.9852880239486694,0.0002929999900516,0.0003190000134054,0.0012219999916851,0.0126759996637701,1,LIVE
0.6745,0,0.0043190000578761,0.9715020060539246,0.0012339999666437,0.0017490000464022,0.0042389999143779,0.0169590003788471,1,LIVE
0.7345,0,0.0005130000063218,0.9609299898147584,0.0009169999975711,0.0007960000075399,0.0027880000416189,0.0340560004115104,1,LIVE
0.8165,0,0.0974029973149299,0.7726479768753052,0.0079709999263286,0.0157689992338418,0.0313359983265399,0.074872002005577,1,LIVE
0.6857,0,0.0001380000030621,0.9837470054626464,0.0002629999944474,0.0002749999985098,0.0010359999723732,0.0145410001277923,1,LIVE
0.7621,0,0.0115400003269314,0.9304919838905334,0.0031649998854845,0.0047189998440444,0.0103270001709461,0.0397569984197616,1,LIVE
0.7217,0,0.0009689999860711,0.9287430047988892,0.0026529999449849,0.0065649999305605,0.0030680000782012,0.0580010004341602,1,LIVE
0.6396,0,0.0336290001869201,0.7191969752311707,0.0070079998113214,0.0109810000285506,0.0119650000706315,0.2172189950942993,1,LIVE
0.7132,0,0.0012349999742582,0.98573499917984,0.0032899999059736,0.0006799999973736,0.0013689999468624,0.0076910001225769,1,LIVE
0.8769,0,0.0042519997805356,0.9098150134086608,0.002600000007078,0.0044570001773536,0.0047300001606345,0.074144996702671,1,LIVE
0.8026,0,0.0004419999895617,0.9957320094108582,0.0004980000085197,0.0007600000244565,0.0009730000165291,0.0015940000303089,1,LIVE
0.7308,0,0.0001939999929163,0.9874640107154846,0.0009289999725297,0.0014110000338405,0.000813000020571,0.0091880001127719,1,LIVE
0.7833,0,0.0062750000506639,0.9401580095291138,0.0061309998854994,0.0311600007116794,0.0054339999333024,0.0108430003747344,1,LIVE
0.8768,0,0.0002899999963119,0.9926390051841736,0.0008050000178627,0.0012479999568313,0.0007580000092275,0.0042599998414516,1,LIVE
0.7001,0,0.0003279999946244,0.9930049777030944,0.0003060000017285,0.0003990000113844,0.0009730000165291,0.0049899998120963,1,LIVE
0.7592,0,0.000413000001572,0.9935320019721984,0.0003900000010617,0.0002200000017182,0.00047599998652,0.0049680001102387,1,LIVE
0.6759,0,0.000224999996135,0.997622013092041,0.0001720000000204,9.100000170292331e-05,0.0002099999983329,0.0016799999866634,1,LIVE
0.8761,0,0.0005349999992176,0.9940750002861024,0.0004609999887179,0.0002589999930933,0.0005300000193528,0.0041390000842511,1,LIVE
0.7084,0,0.0004729999927803,0.9950079917907716,0.0003940000024158,0.0002160000003641,0.0004640000115614,0.0034449999220669,1,LIVE
0.6947,0,0.0004949999856762,0.9948570132255554,0.0002189999941037,0.0001500000071246,0.000384999992093,0.0038940000813454,1,LIVE
0.8504,0,0.0007719999994151,0.9632949829101562,0.0010519999777898,0.0009640000062063,0.0010819999733939,0.0328340008854866,1,LIVE
0.7998,0,0.0012839999981224,0.948601007461548,0.0015239999629557,0.0012420000275596,0.0014130000490695,0.0459359996020793,1,LIVE
0.7596,0,0.0002779999922495,0.997061014175415,0.0003209999995306,0.0005719999899156,0.000441000011051,0.0013259999686852,1,LIVE
0.8201,0,0.0057419999502599,0.0055370000191032,0.0039320001378655,0.9353610277175904,0.0022450000979006,0.0471829995512962,3,LIVE
0.7849,0,0.984969973564148,0.0053340001031756,0.0048299999907612,0.0023159999400377,0.0018339999951422,0.0007159999804571,0,LIVE
0.7131,0,0.9800909757614136,0.0052689998410642,0.0054159997962415,0.005032000131905,0.0028850000817328,0.0013079999480396,0,LIVE
